episodes,train_opponent,eval_opponent,seed,games,max_rounds,wins,losses,timeouts,win_rate,loss_rate,timeout_rate,random_baseline,improvement_pp,known_states,policy_path
20000,mixed,random,42,1000,5000,560,440,0,0.56,0.44,0.0,0.497,6.3,5203483,outputs/policies/q_mixed_20000_seed42.json
20000,mixed,cautious,42,1000,5000,107,893,0,0.107,0.893,0.0,0.093,1.4,5203483,outputs/policies/q_mixed_20000_seed42.json
20000,mixed,aggressive,42,1000,5000,432,568,0,0.432,0.568,0.0,0.388,4.4,5203483,outputs/policies/q_mixed_20000_seed42.json
